epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
22,212.084,0.83634,0.68294,0.99698,0.88037,0.83669,0.90537,0.68659,0.68505,0.48341,0.78356,0.00132043,0.00132043,0.00132043
23,221.271,0.8579,0.70795,1.01539,0.88549,0.85074,0.90903,0.71475,0.60708,0.45461,0.75244,0.00130393,0.00130393,0.00130393
24,230.657,0.8124,0.68487,1.00139,0.86556,0.86759,0.92162,0.70543,0.69772,0.46372,0.78382,0.00128742,0.00128742,0.00128742
25,240.366,0.79168,0.68135,1.0016,0.87287,0.86313,0.9128,0.71993,0.64411,0.45266,0.77222,0.00127092,0.00127092,0.00127092
26,249.907,0.77208,0.63621,0.98551,0.92991,0.87651,0.93723,0.75065,0.61372,0.40807,0.75665,0.00125442,0.00125442,0.00125442
27,259.266,0.77504,0.6009,0.97672,0.93751,0.89428,0.93648,0.73181,0.66101,0.40876,0.76638,0.00123791,0.00123791,0.00123791
28,268.58,0.79129,0.639,0.99256,0.84343,0.86827,0.92167,0.69853,0.6885,0.49911,0.80943,0.00122141,0.00122141,0.00122141
29,278.228,0.76917,0.63824,0.97441,0.83407,0.86863,0.92356,0.7355,0.60588,0.47175,0.75286,0.00120491,0.00120491,0.00120491
30,287.536,0.77667,0.64053,0.98172,0.88926,0.87599,0.93112,0.74729,0.60339,0.41882,0.74744,0.0011884,0.0011884,0.0011884
31,296.965,0.80048,0.66785,0.99583,0.92088,0.88506,0.93706,0.73754,0.63696,0.40225,0.75229,0.0011719,0.0011719,0.0011719
32,306.36,0.76211,0.6143,0.97315,0.91364,0.90939,0.93477,0.75442,0.60297,0.38235,0.74465,0.0011554,0.0011554,0.0011554
33,316.119,0.76835,0.58168,0.97383,0.89405,0.88191,0.92341,0.74036,0.58899,0.40452,0.75017,0.00113889,0.00113889,0.00113889
34,325.821,0.75694,0.60461,0.97279,0.92304,0.92757,0.95244,0.75908,0.62183,0.37666,0.7555,0.00112239,0.00112239,0.00112239
35,335.284,0.72761,0.57976,0.96198,0.93149,0.86292,0.9471,0.77213,0.57516,0.38973,0.74108,0.00110589,0.00110589,0.00110589
36,344.969,0.72386,0.58506,0.95969,0.88274,0.85425,0.93472,0.75489,0.58277,0.44075,0.74514,0.00108938,0.00108938,0.00108938
37,354.411,0.74952,0.59598,0.97098,0.92526,0.91322,0.94362,0.77344,0.5605,0.37074,0.7295,0.00107288,0.00107288,0.00107288
38,363.973,0.71237,0.5414,0.96263,0.91199,0.89769,0.93548,0.76641,0.57147,0.38575,0.73238,0.00105638,0.00105638,0.00105638
39,373.622,0.74043,0.5572,0.96521,0.95573,0.91375,0.95371,0.77788,0.56481,0.34816,0.73119,0.00103987,0.00103987,0.00103987
40,383.337,0.72346,0.54993,0.95525,0.90043,0.90277,0.94273,0.76487,0.57686,0.3779,0.73074,0.00102337,0.00102337,0.00102337
41,392.613,0.71297,0.55485,0.96402,0.92266,0.93599,0.9582,0.78105,0.57161,0.35605,0.73135,0.00100687,0.00100687,0.00100687
42,401.908,0.71497,0.56656,0.9624,0.92394,0.9101,0.94885,0.78099,0.54905,0.35417,0.72349,0.000990365,0.000990365,0.000990365
43,411.577,0.72108,0.56178,0.96902,0.92205,0.9232,0.94908,0.77289,0.57848,0.35395,0.73362,0.000973861,0.000973861,0.000973861
44,421.034,0.71236,0.53305,0.95979,0.94501,0.92457,0.95226,0.78396,0.5463,0.34196,0.72411,0.000957358,0.000957358,0.000957358
45,430.414,0.66426,0.51175,0.94884,0.94206,0.91507,0.95279,0.77947,0.55375,0.35311,0.72668,0.000940855,0.000940855,0.000940855
46,439.776,0.69597,0.53973,0.94878,0.9179,0.92504,0.95042,0.78363,0.55465,0.33882,0.72463,0.000924352,0.000924352,0.000924352
47,449.057,0.7128,0.51665,0.96076,0.8171,0.85282,0.91651,0.74563,0.56183,0.4792,0.72685,0.000907848,0.000907848,0.000907848
48,458.946,0.7054,0.53755,0.95966,0.91858,0.90185,0.94883,0.78281,0.5397,0.36773,0.71451,0.000891345,0.000891345,0.000891345
49,468.395,0.66035,0.50137,0.93472,0.96258,0.93359,0.9581,0.79422,0.54266,0.32549,0.71616,0.000874842,0.000874842,0.000874842
50,477.712,0.68519,0.51073,0.95331,0.94862,0.93539,0.95774,0.78241,0.5839,0.33222,0.73234,0.000858338,0.000858338,0.000858338
51,486.909,0.68613,0.51965,0.9592,0.94057,0.91743,0.94994,0.78893,0.54417,0.32924,0.72362,0.000841835,0.000841835,0.000841835
52,496.261,0.68375,0.51058,0.96163,0.92001,0.92056,0.94644,0.77864,0.55698,0.34794,0.7255,0.000825332,0.000825332,0.000825332
53,505.575,0.69004,0.52482,0.96533,0.93441,0.91529,0.94965,0.78071,0.52585,0.34343,0.712,0.000808828,0.000808828,0.000808828
54,514.782,0.66137,0.52161,0.95868,0.93204,0.9091,0.94927,0.77447,0.55883,0.36528,0.72116,0.000792325,0.000792325,0.000792325
55,523.952,0.65973,0.50312,0.94591,0.95628,0.93607,0.95355,0.78362,0.54699,0.3295,0.72403,0.000775822,0.000775822,0.000775822
56,533.221,0.64718,0.48569,0.93879,0.93186,0.93418,0.9525,0.7958,0.53045,0.32889,0.71404,0.000759318,0.000759318,0.000759318
57,542.665,0.65555,0.47643,0.94758,0.9369,0.92134,0.95622,0.79907,0.51861,0.3195,0.71347,0.000742815,0.000742815,0.000742815
58,552.088,0.66417,0.49852,0.95188,0.94794,0.93683,0.95418,0.79286,0.54801,0.30999,0.72343,0.000726312,0.000726312,0.000726312
59,561.396,0.65454,0.53859,0.94449,0.92207,0.92415,0.95277,0.79546,0.52539,0.32605,0.71744,0.000709809,0.000709809,0.000709809
60,570.881,0.63153,0.48016,0.93842,0.91791,0.92708,0.95145,0.78301,0.54738,0.33743,0.71993,0.000693305,0.000693305,0.000693305
61,580.265,0.63685,0.47925,0.94614,0.92648,0.9339,0.96144,0.80289,0.53079,0.32586,0.7153,0.000676802,0.000676802,0.000676802
62,589.654,0.62579,0.45946,0.92797,0.9452,0.94314,0.96058,0.80103,0.52165,0.31462,0.713,0.000660299,0.000660299,0.000660299
63,598.986,0.62451,0.45727,0.93485,0.92078,0.94004,0.95219,0.79886,0.51818,0.33484,0.71401,0.000643795,0.000643795,0.000643795
64,608.319,0.61921,0.45892,0.93946,0.95053,0.94106,0.96116,0.79566,0.53259,0.30313,0.71372,0.000627292,0.000627292,0.000627292
65,617.592,0.60495,0.45747,0.92431,0.9533,0.93526,0.95753,0.80287,0.51443,0.30637,0.70793,0.000610789,0.000610789,0.000610789
66,626.707,0.5899,0.44539,0.93564,0.95987,0.94322,0.95837,0.80546,0.51137,0.29431,0.70478,0.000594286,0.000594286,0.000594286
67,636.181,0.62532,0.47671,0.93967,0.93912,0.9346,0.95929,0.80726,0.50877,0.30359,0.70228,0.000577782,0.000577782,0.000577782
68,645.827,0.6149,0.44694,0.93802,0.95144,0.92568,0.96148,0.80593,0.52207,0.30691,0.71121,0.000561279,0.000561279,0.000561279
69,655.047,0.61524,0.45905,0.93193,0.94693,0.92373,0.95177,0.79402,0.51263,0.31119,0.70684,0.000544776,0.000544776,0.000544776
70,664.204,0.63691,0.45365,0.94513,0.95513,0.93757,0.95612,0.80875,0.50174,0.29459,0.70037,0.000528272,0.000528272,0.000528272
71,673.419,0.6373,0.46859,0.94813,0.94143,0.90537,0.93735,0.78906,0.50416,0.32165,0.70333,0.000511769,0.000511769,0.000511769
72,682.761,0.6177,0.42759,0.92653,0.97052,0.93327,0.95667,0.80243,0.51309,0.29324,0.70647,0.000495266,0.000495266,0.000495266
73,692.022,0.6053,0.43088,0.9311,0.94935,0.95589,0.95502,0.80593,0.50734,0.29076,0.70445,0.000478762,0.000478762,0.000478762
74,701.62,0.61004,0.44463,0.92388,0.95276,0.95468,0.96162,0.80529,0.50337,0.28933,0.70035,0.000462259,0.000462259,0.000462259
75,710.764,0.58028,0.42325,0.92572,0.91536,0.93976,0.94276,0.79408,0.50876,0.31464,0.7014,0.000445756,0.000445756,0.000445756
76,720.117,0.58175,0.41932,0.92308,0.96248,0.92123,0.95991,0.80574,0.50292,0.29243,0.70058,0.000429253,0.000429253,0.000429253
77,729.204,0.56663,0.401,0.91671,0.93833,0.94054,0.95346,0.80811,0.49297,0.29856,0.69821,0.000412749,0.000412749,0.000412749
78,738.441,0.58544,0.43561,0.92887,0.95397,0.94404,0.95755,0.8153,0.48636,0.28696,0.69805,0.000396246,0.000396246,0.000396246
79,748.03,0.56828,0.4153,0.91894,0.94839,0.94364,0.96191,0.81614,0.49052,0.28842,0.69684,0.000379743,0.000379743,0.000379743
80,757.539,0.56478,0.42041,0.91994,0.95378,0.94627,0.95882,0.81811,0.48825,0.28756,0.69498,0.000363239,0.000363239,0.000363239
81,766.944,0.57751,0.43814,0.92247,0.95589,0.94074,0.95979,0.81275,0.49553,0.29053,0.69843,0.000346736,0.000346736,0.000346736
82,776.238,0.58333,0.41933,0.92934,0.96494,0.93079,0.96213,0.8217,0.4964,0.2823,0.7001,0.000330233,0.000330233,0.000330233
83,785.814,0.56367,0.40535,0.92111,0.94147,0.9523,0.95329,0.81039,0.4878,0.2832,0.69559,0.000313729,0.000313729,0.000313729
84,794.787,0.55673,0.39236,0.92375,0.94704,0.94375,0.955,0.80987,0.49134,0.28845,0.69641,0.000297226,0.000297226,0.000297226
85,804.076,0.59293,0.41876,0.93152,0.95106,0.95039,0.95512,0.81358,0.48591,0.27962,0.69251,0.000280723,0.000280723,0.000280723
86,813.421,0.55031,0.40174,0.91772,0.94246,0.94067,0.95155,0.8109,0.48707,0.29346,0.69745,0.00026422,0.00026422,0.00026422
87,822.821,0.55595,0.40003,0.92009,0.94186,0.93917,0.95222,0.81014,0.48299,0.28167,0.69528,0.000247716,0.000247716,0.000247716
88,832.41,0.54712,0.38675,0.91687,0.94615,0.94748,0.95919,0.81804,0.48119,0.27413,0.69351,0.000231213,0.000231213,0.000231213
89,842.281,0.57356,0.40815,0.92062,0.94663,0.95251,0.95282,0.81701,0.47869,0.28276,0.69293,0.00021471,0.00021471,0.00021471
90,851.71,0.55186,0.37994,0.91947,0.95038,0.95841,0.96233,0.82172,0.48079,0.2746,0.69356,0.000198206,0.000198206,0.000198206
91,862.478,0.49098,0.31893,0.90947,0.94691,0.94618,0.95577,0.81073,0.48042,0.28698,0.69586,0.000181703,0.000181703,0.000181703
92,871.816,0.47597,0.30489,0.89372,0.94312,0.94601,0.95613,0.81875,0.47261,0.28601,0.6941,0.0001652,0.0001652,0.0001652
93,881.224,0.46665,0.28534,0.88742,0.94485,0.95436,0.96226,0.82288,0.47231,0.27208,0.69195,0.000148696,0.000148696,0.000148696
94,890.73,0.47235,0.288,0.89791,0.9484,0.95244,0.95749,0.81806,0.46948,0.27262,0.68775,0.000132193,0.000132193,0.000132193
95,900.12,0.46437,0.2724,0.89149,0.94104,0.9575,0.95589,0.82161,0.46532,0.27244,0.68836,0.00011569,0.00011569,0.00011569
96,909.239,0.44242,0.28368,0.88789,0.94372,0.95325,0.95351,0.81851,0.47031,0.27611,0.68899,9.91865e-05,9.91865e-05,9.91865e-05
97,918.647,0.43353,0.27244,0.88346,0.94857,0.95073,0.95968,0.82367,0.46841,0.2717,0.68845,8.26832e-05,8.26832e-05,8.26832e-05
98,928.075,0.44549,0.27948,0.89148,0.94056,0.95248,0.94938,0.81656,0.46406,0.27744,0.68622,6.61799e-05,6.61799e-05,6.61799e-05
99,937.311,0.43883,0.30586,0.88221,0.94298,0.95432,0.95697,0.82609,0.46267,0.27225,0.68663,4.96766e-05,4.96766e-05,4.96766e-05
100,946.526,0.43467,0.27852,0.87923,0.94536,0.95029,0.95731,0.82555,0.46437,0.27195,0.68821,3.31733e-05,3.31733e-05,3.31733e-05
