epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9822,1.52628,2.53714,1.47052,0.46403,0.54212,0.46652,0.27266,1.0251,1.62877,1.05779,0.000544553,0.000544553,0.000544553
2,22.4791,1.09616,1.45998,1.09628,0.41067,0.32512,0.26426,0.12165,2.03538,1.85959,1.90354,0.00108933,0.00108933,0.00108933
3,31.776,1.09672,1.24639,1.09715,0.30337,0.59961,0.38202,0.20432,1.2063,1.33298,1.32925,0.0016231,0.0016231,0.0016231
4,41.1625,1.09247,1.17431,1.08894,0.45753,0.72141,0.50021,0.33799,0.84988,1.12032,0.90804,0.00161749,0.00161749,0.00161749
5,50.7327,1.02608,1.0586,1.06711,0.19039,0.34632,0.15628,0.05718,1.68014,1.94119,1.47235,0.00160099,0.00160099,0.00160099
6,60.207,1.00237,0.99346,1.06078,0.53727,0.73049,0.63702,0.4322,0.8124,1.02176,0.90504,0.00158448,0.00158448,0.00158448
7,69.5802,0.98475,0.94475,1.05853,0.35905,0.37965,0.28664,0.17011,1.24469,1.8826,1.17271,0.00156798,0.00156798,0.00156798
8,79.196,0.95675,0.86273,1.03985,0.59032,0.75457,0.76192,0.54159,0.78972,0.93788,0.85296,0.00155148,0.00155148,0.00155148
9,88.5285,0.98348,0.86645,1.0433,0.71289,0.63918,0.71389,0.50295,0.82508,0.78291,0.8822,0.00153497,0.00153497,0.00153497
10,97.9942,0.9279,0.84158,1.0224,0.78162,0.76366,0.79165,0.57087,0.7871,0.68276,0.86016,0.00151847,0.00151847,0.00151847
11,107.868,0.92349,0.81284,1.02975,0.71928,0.79009,0.83159,0.60104,0.75039,0.71852,0.82827,0.00150197,0.00150197,0.00150197
12,117.543,0.93512,0.76798,1.03753,0.83739,0.78021,0.85572,0.60811,0.8009,0.58429,0.86626,0.00148546,0.00148546,0.00148546
13,126.924,0.91581,0.85174,1.03446,0.78113,0.79928,0.84698,0.63429,0.70213,0.65041,0.80191,0.00146896,0.00146896,0.00146896
14,136.215,0.8867,0.7709,1.0132,0.83162,0.85867,0.89646,0.67067,0.71396,0.53795,0.81773,0.00145246,0.00145246,0.00145246
15,145.842,0.8894,0.76247,1.01842,0.85267,0.8106,0.89718,0.6792,0.68892,0.54492,0.79154,0.00143595,0.00143595,0.00143595
16,155.127,0.85283,0.72568,1.00321,0.85747,0.83737,0.88075,0.65563,0.73189,0.59009,0.8102,0.00141945,0.00141945,0.00141945
17,164.98,0.87189,0.75148,1.01885,0.88141,0.88131,0.9222,0.6975,0.68678,0.46697,0.79462,0.00140295,0.00140295,0.00140295
18,174.333,0.85236,0.70947,0.99648,0.87145,0.83881,0.89264,0.65032,0.75975,0.54262,0.83272,0.00138644,0.00138644,0.00138644
19,183.835,0.8367,0.70945,0.99669,0.86035,0.83544,0.89694,0.68092,0.70235,0.52758,0.81785,0.00136994,0.00136994,0.00136994
20,193.209,0.81427,0.68932,0.98032,0.7488,0.83773,0.89415,0.67731,0.68371,0.58227,0.79172,0.00135344,0.00135344,0.00135344
21,202.909,0.82684,0.66828,0.99764,0.76216,0.83891,0.87942,0.66771,0.68328,0.57919,0.79057,0.00133693,0.00133693,0.00133693
